#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
20.2%	605	-1448.5089648368296	282.34815948673383	0	--
20.3%	610	-1445.4022220677118	279.8556706332096	33.4	0:06
20.5%	615	-1443.6287630450333	280.45024567437736	33.4	0:06
20.7%	620	-1443.2524351470784	282.0123287902141	33.4	0:06
20.8%	625	-1443.222969246168	281.3668746027211	33.2	0:06
21.0%	630	-1444.3975368120216	281.4438940110198	32.8	0:06
21.2%	635	-1446.4351098081695	286.2615503143096	32.8	0:06
21.3%	640	-1449.172399383908	284.528193278052	32.7	0:06
21.5%	645	-1452.7590009299745	286.21827099656014	32.6	0:06
21.7%	650	-1457.2241161667728	289.4731685198212	32.5	0:06
21.8%	655	-1462.3152790639924	293.3008053034733	32.3	0:06
22.0%	660	-1468.5226601210782	295.0518807460263	32.3	0:06
22.2%	665	-1475.0360672163274	291.6188075569307	32.2	0:06
22.3%	670	-1481.8606779562788	292.6079220139452	32.1	0:06
22.5%	675	-1488.572263481005	295.6532859663014	32	0:06
22.7%	680	-1494.816642140465	296.74288981915157	31.9	0:06
22.8%	685	-1499.9053850283203	300.6804044819366	31.8	0:06
23.0%	690	-1503.2671540433832	299.6113964259457	31.6	0:06
23.2%	695	-1504.8338571686818	298.5622722962522	31.7	0:06
23.3%	700	-1504.9422118418142	298.99042282046673	31.8	0:06
23.5%	705	-1502.4771398799858	296.6146958577289	31.9	0:06
23.7%	710	-1498.0397234344005	298.06604404546425	32	0:06
23.8%	715	-1491.7425093098443	299.5205171521504	32	0:06
24.0%	720	-1483.1349728839534	298.2924572927445	32	0:06
24.2%	725	-1472.15342853219	297.0392260508888	32.1	0:06
24.3%	730	-1459.3622014276311	297.327261796062	32.1	0:06
24.5%	735	-1445.156425509851	295.1011304023188	32.1	0:06
24.7%	740	-1430.5528467715967	288.317526207783	32.1	0:06
24.8%	745	-1415.7264402359408	287.6860554329758	32.1	0:06
25.0%	750	-1401.9435031853513	283.7305034306652	32.1	0:06
25.2%	755	-1389.4986243992505	283.1252909175216	32.1	0:06
25.3%	760	-1379.7647286438194	280.3480718353574	32	0:06
25.5%	765	-1372.8081639306304	278.55626407078597	32	0:06
25.7%	770	-1369.6230727048553	279.06460954160525	32	0:06
25.8%	775	-1370.1794829243365	280.3376831217803	31.9	0:06
26.0%	780	-1373.9081981756806	284.0592501416362	31.9	0:06
26.2%	785	-1379.8206155727278	285.4800069142686	32	0:05
26.3%	790	-1387.7205342027833	288.82487114612945	32	0:05
26.5%	795	-1396.7995479275532	295.6473100008034	32	0:05
26.7%	800	-1405.6992790401353	297.80944284423134	32	0:05
26.8%	805	-1414.0746087090913	299.2347765805034	32.1	0:05
27.0%	810	-1421.9212037161592	301.56200819309583	32.1	0:05
27.2%	815	-1428.2437649213482	305.63468482720714	32.1	0:05
27.3%	820	-1433.036775787959	310.64480166412875	32.1	0:05
27.5%	825	-1436.2937227232028	313.0759763611381	32.1	0:05
27.7%	830	-1437.1586970447358	311.25773050474794	32.1	0:05
27.8%	835	-1436.8689645967365	312.1293408923792	32.1	0:05
28.0%	840	-1435.4204137515276	309.47457369514007	32	0:05
28.2%	845	-1433.041905775618	310.24912837839463	32	0:05
28.3%	850	-1430.0201604211206	305.75184245152064	32	0:05
28.5%	855	-1426.1594355473399	309.33223150800774	32	0:05
28.7%	860	-1421.2197109118904	313.8017384372259	32	0:05
28.8%	865	-1415.873854046075	314.45842403863907	31.9	0:05
29.0%	870	-1409.9821601872322	312.81020798407206	31.9	0:05
29.2%	875	-1403.1158609500062	313.2934421218611	31.9	0:05
29.3%	880	-1395.466167801291	311.8170090853236	31.9	0:05
29.5%	885	-1387.1758951811428	308.7467441525985	31.9	0:05
