Time,Load,Tensile strain (Extension),Tensile extension,Tensile stress
(s),(N),(mm/mm),(mm),(MPa)
"0.00000","6.71945","0.00000","0.00000","0.28861"
"0.10000","10.97002","0.00094","0.01312","0.47117"
"0.20000","10.87472","0.00236","0.03287","0.46708"
"0.30000","11.61723","0.00359","0.04994","0.49897"
"0.40000","11.51747","0.00479","0.06656","0.49469"
"0.50000","11.61764","0.00599","0.08331","0.49899"
"0.60000","11.71586","0.00719","0.10006","0.50321"
"0.70000","11.94172","0.00838","0.11662","0.51291"
"0.80000","11.93436","0.00959","0.13337","0.51259"
"0.90000","12.35936","0.01078","0.14994","0.53085"
"1.00000","12.19877","0.01198","0.16662","0.52395"
"1.10000","13.30476","0.01318","0.18331","0.57145"
"1.20000","13.13836","0.01437","0.19987","0.56430"
"1.30000","13.22762","0.01558","0.21675","0.56814"
"1.40000","13.58710","0.01677","0.23325","0.58358"
"1.50000","14.13250","0.01797","0.24994","0.60700"
"1.60000","14.51390","0.01918","0.26675","0.62338"
"1.70000","16.61559","0.02037","0.28331","0.71365"
"1.80000","25.29967","0.02157","0.30006","1.08664"
"1.90000","49.41716","0.02276","0.31662","2.12251"
"2.00000","78.84286","0.02396","0.33325","3.38637"
"2.10000","110.01405","0.02517","0.35006","4.72520"
"2.20000","141.79646","0.02636","0.36662","6.09029"
"2.30000","172.48909","0.02756","0.38337","7.40856"
"2.40000","203.37282","0.02875","0.39994","8.73505"
"2.50000","234.70163","0.02995","0.41662","10.08065"
"2.60000","266.11166","0.03115","0.43331","11.42974"
"2.70000","296.98199","0.03235","0.45000","12.75564"
"2.80000","326.98007","0.03355","0.46662","14.04409"
"2.90000","357.24783","0.03474","0.48325","15.34412"
"3.00000","386.66971","0.03595","0.50006","16.60781"
"3.10000","416.56363","0.03715","0.51669","17.89178"
"3.20000","445.77502","0.03834","0.53331","19.14644"
"3.30000","474.43152","0.03954","0.55006","20.37726"
"3.40000","502.69977","0.04074","0.56662","21.59141"
"3.50000","530.97430","0.04194","0.58337","22.80582"
"3.60000","559.10431","0.04314","0.60006","24.01403"
"3.70000","586.14642","0.04433","0.61662","25.17552"
"3.80000","612.83716","0.04553","0.63337","26.32191"
"3.90000","639.97656","0.04672","0.64994","27.48757"
"4.00000","666.22498","0.04792","0.66662","28.61496"
"4.10000","692.00226","0.04913","0.68337","29.72212"
"4.20000","717.61383","0.05032","0.69994","30.82216"
"4.30000","742.35742","0.05152","0.71669","31.88492"
"4.40000","767.69061","0.05271","0.73325","32.97300"
"4.50000","791.92706","0.05392","0.75006","34.01398"
"4.60000","815.85413","0.05512","0.76669","35.04167"
"4.70000","839.12891","0.05631","0.78331","36.04134"
"4.80000","862.11420","0.05752","0.80012","37.02858"
"4.90000","884.62073","0.05871","0.81662","37.99525"
"5.00000","906.50806","0.05991","0.83331","38.93534"
"5.10000","928.18121","0.06111","0.85006","39.86622"
"5.20000","949.08215","0.06230","0.86662","40.76393"
"5.30000","969.45337","0.06351","0.88337","41.63889"
"5.40000","990.04175","0.06470","0.90000","42.52318"
"5.50000","1009.63275","0.06590","0.91662","43.36464"
"5.60000","1028.59741","0.06710","0.93337","44.17918"
"5.70000","1047.01733","0.06829","0.94994","44.97034"
"5.80000","1065.02576","0.06950","0.96669","45.74381"
"5.90000","1082.17676","0.07069","0.98325","46.48046"
"6.00000","1098.51709","0.07189","1.00000","47.18230"
"6.10000","1115.00281","0.07309","1.01669","47.89037"
"6.20000","1130.62146","0.07429","1.03331","48.56121"
"6.30000","1145.42761","0.07549","1.05000","49.19714"
"6.40000","1160.17224","0.07668","1.06662","49.83044"
"6.50000","1173.56299","0.07788","1.08331","50.40559"
"6.60000","1187.25500","0.07908","1.10006","50.99367"
"6.70000","1199.25659","0.08027","1.11662","51.50915"
"6.80000","1210.76343","0.08148","1.13344","52.00338"
"6.90000","1222.15100","0.08267","1.14994","52.49249"
"7.00000","1232.20740","0.08387","1.16662","52.92442"
"7.10000","1242.25012","0.08507","1.18337","53.35576"
"7.20000","1251.20032","0.08627","1.20000","53.74018"
"7.30000","1259.78223","0.08747","1.21675","54.10878"
"7.40000","1267.56201","0.08866","1.23325","54.44293"
"7.50000","1274.74036","0.08986","1.25000","54.75124"
"7.60000","1281.05151","0.09106","1.26669","55.02231"
"7.70000","1287.73706","0.09226","1.28337","55.30946"
"7.80000","1292.18274","0.09346","1.30006","55.50041"
"7.84200","762.34106","0.09398","1.30725","32.74323"
