Time,Load,Tensile strain (Extension),Tensile extension,Tensile stress
(s),(N),(mm/mm),(mm),(MPa)
"0.00000","1.23478","0.01077","0.15700","0.06086"
"0.10000","3.97782","0.01188","0.17319","0.19607"
"0.20000","5.21745","0.01303","0.18994","0.25717"
"0.30000","6.82478","0.01417","0.20662","0.33640"
"0.40000","8.00624","0.01531","0.22325","0.39463"
"0.50000","9.56056","0.01646","0.24000","0.47124"
"0.60000","10.61652","0.01760","0.25662","0.52329"
"0.70000","12.08379","0.01875","0.27331","0.59561"
"0.80000","14.37130","0.01989","0.29000","0.70836"
"0.90000","16.02885","0.02103","0.30662","0.79007"
"1.00000","17.46382","0.02218","0.32337","0.86080"
"1.10000","18.31048","0.02332","0.33994","0.90253"
"1.20000","20.27620","0.02446","0.35662","0.99942"
"1.30000","22.39075","0.02561","0.37344","1.10365"
"1.40000","24.54295","0.02674","0.38994","1.20973"
"1.50000","27.59338","0.02790","0.40675","1.36008"
"1.60000","35.29821","0.02903","0.42331","1.73986"
"1.70000","45.89857","0.03018","0.44000","2.26235"
"1.80000","58.50735","0.03132","0.45669","2.88384"
"1.90000","70.02323","0.03246","0.47325","3.45146"
"2.00000","79.61645","0.03362","0.49012","3.92431"
"2.10000","89.78108","0.03475","0.50662","4.42533"
"2.20000","100.79583","0.03590","0.52337","4.96825"
"2.30000","112.91258","0.03704","0.54000","5.56549"
"2.40000","126.86781","0.03818","0.55662","6.25334"
"2.50000","141.72574","0.03933","0.57344","6.98569"
"2.60000","157.73958","0.04047","0.59006","7.77502"
"2.70000","173.31107","0.04160","0.60656","8.54254"
"2.80000","188.68636","0.04275","0.62325","9.30039"
"2.90000","203.85086","0.04389","0.63987","10.04785"
"3.00000","218.97929","0.04504","0.65675","10.79354"
"3.10000","234.24937","0.04618","0.67325","11.54620"
"3.20000","249.08531","0.04732","0.68994","12.27747"
"3.30000","264.33710","0.04847","0.70669","13.02923"
"3.40000","278.49512","0.04961","0.72337","13.72709"
"3.50000","292.23404","0.05075","0.74000","14.40428"
"3.60000","306.44092","0.05190","0.75669","15.10454"
"3.70000","320.10944","0.05304","0.77331","15.77826"
"3.80000","334.09122","0.05419","0.79006","16.46743"
"3.90000","347.34680","0.05532","0.80662","17.12080"
"4.00000","360.37601","0.05648","0.82344","17.76301"
"4.10000","373.24042","0.05762","0.84006","18.39710"
"4.20000","386.25623","0.05875","0.85662","19.03865"
"4.30000","399.06982","0.05990","0.87331","19.67024"
"4.40000","411.44217","0.06104","0.89000","20.28008"
"4.50000","423.62259","0.06219","0.90669","20.88045"
"4.60000","435.96365","0.06333","0.92331","21.48874"
"4.70000","447.94055","0.06447","0.94000","22.07909"
"4.80000","459.07959","0.06561","0.95662","22.62813"
"4.90000","470.28894","0.06675","0.97325","23.18064"
"5.00000","481.46277","0.06790","0.99000","23.73141"
"5.10000","492.31580","0.06904","1.00656","24.26635"
"5.20000","503.29105","0.07019","1.02337","24.80733"
"5.30000","513.51007","0.07133","1.04000","25.31102"
"5.40000","523.47333","0.07247","1.05662","25.80212"
"5.50000","533.11255","0.07362","1.07337","26.27724"
"5.60000","542.88635","0.07476","1.09006","26.75899"
"5.70000","552.10834","0.07590","1.10669","27.21354"
"5.80000","560.80579","0.07705","1.12337","27.64224"
"5.90000","569.13629","0.07818","1.13994","28.05285"
"6.00000","577.16357","0.07934","1.15681","28.44852"
"6.10000","585.07819","0.08047","1.17325","28.83863"
"6.20000","592.88330","0.08162","1.19000","29.22335"
"6.30000","600.16779","0.08276","1.20669","29.58240"
"6.40000","606.62396","0.08390","1.22325","29.90063"
"6.50000","613.41974","0.08505","1.24006","30.23559"
"6.60000","619.36835","0.08619","1.25662","30.52880"
"6.70000","625.35510","0.08733","1.27331","30.82389"
"6.80000","630.48944","0.08848","1.29000","31.07696"
"6.90000","635.64886","0.08962","1.30662","31.33127"
"7.00000","639.74078","0.09077","1.32337","31.53296"
"7.10000","644.03027","0.09191","1.34000","31.74439"
"7.20000","647.32397","0.09305","1.35669","31.90674"
"7.30000","650.39124","0.09420","1.37337","32.05793"
"7.40000","652.79340","0.09534","1.39000","32.17633"
"7.50000","654.98969","0.09648","1.40675","32.28459"
"7.60000","655.97076","0.09763","1.42337","32.33294"
"7.70000","656.61871","0.09877","1.44000","32.36488"
"7.80000","656.67645","0.09991","1.45675","32.36773"
"7.90000","656.57941","0.10105","1.47325","32.36295"
