,Time (s),Load (N),Tensile strain (Extension) (mm/mm),Tensile extension (mm),Tensile stress (MPa),sample
0,0.00000,6.71945,0.00000,0.00000,0.28861,1-1
1,0.10000,10.97002,0.00094,0.01312,0.47117,1-1
2,0.20000,10.87472,0.00236,0.03287,0.46708,1-1
3,0.30000,11.61723,0.00359,0.04994,0.49897,1-1
4,0.40000,11.51747,0.00479,0.06656,0.49469,1-1
5,0.50000,11.61764,0.00599,0.08331,0.49899,1-1
6,0.60000,11.71586,0.00719,0.10006,0.50321,1-1
7,0.70000,11.94172,0.00838,0.11662,0.51291,1-1
8,0.80000,11.93436,0.00959,0.13337,0.51259,1-1
9,0.90000,12.35936,0.01078,0.14994,0.53085,1-1
10,1.00000,12.19877,0.01198,0.16662,0.52395,1-1
11,1.10000,13.30476,0.01318,0.18331,0.57145,1-1
12,1.20000,13.13836,0.01437,0.19987,0.56430,1-1
13,1.30000,13.22762,0.01558,0.21675,0.56814,1-1
14,1.40000,13.58710,0.01677,0.23325,0.58358,1-1
15,1.50000,14.13250,0.01797,0.24994,0.60700,1-1
16,1.60000,14.51390,0.01918,0.26675,0.62338,1-1
17,1.70000,16.61559,0.02037,0.28331,0.71365,1-1
18,1.80000,25.29967,0.02157,0.30006,1.08664,1-1
19,1.90000,49.41716,0.02276,0.31662,2.12251,1-1
20,2.00000,78.84286,0.02396,0.33325,3.38637,1-1
21,2.10000,110.01405,0.02517,0.35006,4.72520,1-1
22,2.20000,141.79646,0.02636,0.36662,6.09029,1-1
23,2.30000,172.48909,0.02756,0.38337,7.40856,1-1
24,2.40000,203.37282,0.02875,0.39994,8.73505,1-1
25,2.50000,234.70163,0.02995,0.41662,10.08065,1-1
26,2.60000,266.11166,0.03115,0.43331,11.42974,1-1
27,2.70000,296.98199,0.03235,0.45000,12.75564,1-1
28,2.80000,326.98007,0.03355,0.46662,14.04409,1-1
29,2.90000,357.24783,0.03474,0.48325,15.34412,1-1
30,3.00000,386.66971,0.03595,0.50006,16.60781,1-1
31,3.10000,416.56363,0.03715,0.51669,17.89178,1-1
32,3.20000,445.77502,0.03834,0.53331,19.14644,1-1
