Time (s),Load (N),Tensile strain (Extension) (mm/mm),Tensile extension (mm),Tensile stress (MPa),Sample,Mix
0,1.31014,0.00036,0.00544,0.12413,5,2
0.1,16.75251,0.00178,0.02675,1.58725,5,2
0.2,29.02918,0.00292,0.04375,2.75043,5,2
0.3,40.94808,0.00403,0.0605,3.87972,5,2
0.4,52.70107,0.00516,0.07737,4.99328,5,2
0.5,63.96272,0.00627,0.094,6.06029,5,2
0.6,75.07722,0.00737,0.11062,7.11336,5,2
0.7,86.1706,0.00849,0.12737,8.16442,5,2
0.8,97.0571,0.0096,0.144,9.19589,5,2
0.9,108.11744,0.01071,0.16069,10.24383,5,2
1,118.6246,0.01181,0.17719,11.23935,5,2
1.1,129.08575,0.01293,0.19394,12.23052,5,2
1.2,139.60332,0.01405,0.21075,13.22703,5,2
1.3,150.08008,0.01515,0.22725,14.21967,5,2
1.4,159.90479,0.01625,0.24381,15.15053,5,2
1.5,170.45723,0.01738,0.26075,16.15035,5,2
1.6,180.44696,0.01849,0.27737,17.09685,5,2
1.7,190.28909,0.0196,0.29394,18.02936,5,2
1.8,199.80185,0.0207,0.3105,18.93067,5,2
1.9,209.29692,0.02182,0.32737,19.8303,5,2
2,218.64954,0.02294,0.34406,20.71643,5,2
2.1,207.80748,0.02404,0.36056,19.68918,5,2
2.2,218.57649,0.02516,0.37737,20.70951,5,2
2.3,228.75374,0.02627,0.39406,21.67378,5,2
2.4,237.86754,0.02738,0.41069,22.53728,5,2
2.5,247.18779,0.02848,0.42719,23.42035,5,2
2.6,256.17499,0.0296,0.44394,24.27187,5,2
2.7,265.16367,0.03072,0.46075,25.12352,5,2
2.8,273.59033,0.03182,0.47737,25.92192,5,2
2.9,282.28824,0.03293,0.494,26.74602,5,2
3,290.68036,0.03405,0.51075,27.54115,5,2
3.1,298.80615,0.03516,0.52744,28.31105,5,2
3.2,306.90448,0.03627,0.544,29.07834,5,2
3.3,314.62796,0.03737,0.5605,29.81012,5,2
3.4,322.59341,0.0385,0.57744,30.56483,5,2
3.5,330.06052,0.0396,0.59406,31.27231,5,2
3.6,337.34509,0.0407,0.61056,31.96251,5,2
3.7,344.58408,0.04183,0.62744,32.64838,5,2
3.8,351.68021,0.04294,0.64406,33.32072,5,2
3.9,358.63354,0.04404,0.66062,33.97953,5,2
4,365.30502,0.04515,0.67725,34.61163,5,2
4.1,371.8566,0.04626,0.69394,35.23238,5,2
4.2,378.20334,0.04738,0.71075,35.83371,5,2
4.3,384.24435,0.04849,0.72731,36.40608,5,2
4.4,389.99863,0.04959,0.74387,36.95128,5,2
4.5,395.91711,0.05072,0.76081,37.51204,5,2
4.6,401.35794,0.05183,0.77744,38.02755,5,2
4.7,406.42755,0.05293,0.79394,38.50788,5,2
4.8,411.51755,0.05404,0.81062,38.99014,5,2
4.9,416.45282,0.05516,0.82744,39.45774,5,2
5,421.04419,0.05627,0.84406,39.89276,5,2
5.1,425.45694,0.05737,0.86062,40.31086,5,2
5.2,429.26749,0.05849,0.87731,40.6719,5,2
5.3,433.28915,0.05961,0.89412,41.05294,5,2
5.4,436.569,0.06071,0.91069,41.36369,5,2
5.5,439.82159,0.06181,0.92719,41.67187,5,2
5.6,442.68323,0.06294,0.94406,41.943,5,2
5.7,445.21307,0.06405,0.96075,42.1827,5,2
5.8,447.48477,0.06515,0.97731,42.39793,5,2
5.9,449.29251,0.06626,0.99394,42.56921,5,2
6,451.12869,0.06738,1.01069,42.74319,5,2
6.1,452.42886,0.0685,1.02744,42.86637,5,2
6.2,453.24335,0.0696,1.04406,42.94354,5,2
6.3,453.853,0.0707,1.0605,43.0013,5,2
6.4,454.45691,0.07183,1.0775,43.05853,5,2
6.5,454.25977,0.07293,1.094,43.03984,5,2
6.6,453.5838,0.07403,1.1105,42.9758,5,2
6.7,452.95508,0.07516,1.12737,42.91623,5,2
6.8,452.06537,0.07627,1.144,42.83193,5,2
6.9,450.76349,0.07737,1.16062,42.70858,5,2
7,448.7262,0.07848,1.17719,42.51556,5,2
7.1,447.17249,0.07959,1.19387,42.36835,5,2
7.2,445.1824,0.08072,1.21081,42.17979,5,2
7.3,442.67773,0.08182,1.22737,41.94248,5,2
7.4,440.02979,0.08292,1.24387,41.69159,5,2
7.5,437.50363,0.08405,1.26081,41.45225,5,2
7.6,434.5567,0.08516,1.27737,41.17303,5,2
7.7,431.76096,0.08627,1.294,40.90815,5,2
7.8,428.85779,0.08737,1.31056,40.63308,5,2
7.9,426.04129,0.08849,1.32737,40.36622,5,2
8,422.87506,0.08961,1.34412,40.06623,5,2
8.1,420.07413,0.0907,1.36056,39.80085,5,2
8.2,417.03204,0.09182,1.37731,39.51262,5,2
8.3,414.32321,0.09294,1.39412,39.25597,5,2
8.4,411.5141,0.09404,1.41062,38.98981,5,2
8.5,408.92862,0.09515,1.42725,38.74485,5,2
8.6,406.3989,0.09627,1.44406,38.50516,5,2
8.7,404.10226,0.09738,1.46069,38.28756,5,2
8.8,401.75696,0.09849,1.47737,38.06535,5,2
8.9,399.58615,0.0996,1.494,37.85967,5,2
9,397.47968,0.10072,1.51075,37.66009,5,2
9.1,395.41925,0.10183,1.52744,37.46487,5,2
9.2,393.46878,0.10292,1.54387,37.28007,5,2
9.3,391.4646,0.10404,1.56056,37.09018,5,2
9.4,389.72052,0.10517,1.5775,36.92493,5,2
9.5,387.63202,0.10626,1.59394,36.72705,5,2
9.6,385.25262,0.10737,1.61056,36.50161,5,2
9.7,382.3306,0.10849,1.62737,36.22476,5,2
9.794,268.89777,0.10954,1.64312,25.47731,5,2
0,1.34974,0.00028,0.00425,0.07181,4,2
0.1,18.50522,0.00168,0.02562,0.98453,4,2
0.2,34.95821,0.0028,0.04269,1.85987,4,2
0.3,50.74291,0.0039,0.0595,2.69967,4,2
0.4,66.63838,0.00501,0.07637,3.54535,4,2
0.5,82.65359,0.0061,0.09306,4.3974,4,2
0.6,98.38969,0.00718,0.10956,5.23461,4,2
0.7,114.15395,0.00829,0.12637,6.07331,4,2
0.8,129.87564,0.00938,0.14306,6.90975,4,2
0.9,145.31787,0.01047,0.15962,7.73132,4,2
1,160.53781,0.01156,0.17625,8.54106,4,2
1.1,175.42206,0.01265,0.19294,9.33295,4,2
1.2,189.93968,0.01375,0.20975,10.10532,4,2
1.3,204.46959,0.01484,0.22631,10.87836,4,2
1.4,186.23769,0.01592,0.24281,9.90837,4,2
1.5,203.93037,0.01703,0.25975,10.84967,4,2
1.6,219.41203,0.01812,0.27637,11.67334,4,2
1.7,233.90152,0.01921,0.29294,12.44422,4,2
1.8,248.11865,0.0203,0.3095,13.20061,4,2
1.9,262.33075,0.0214,0.32637,13.95673,4,2
2,276.21841,0.0225,0.34306,14.6956,4,2
2.1,289.63959,0.02358,0.35962,15.40964,4,2
2.2,302.92825,0.02468,0.37637,16.11663,4,2
2.3,316.43503,0.02577,0.393,16.83523,4,2
2.4,329.09009,0.02686,0.40962,17.50852,4,2
2.5,341.91324,0.02795,0.42619,18.19074,4,2
2.6,354.52448,0.02905,0.44294,18.8617,4,2
2.7,366.91843,0.03015,0.45981,19.52109,4,2
2.8,379.20233,0.03124,0.47637,20.17463,4,2
2.9,391.18674,0.03232,0.49294,20.81223,4,2
3,403.19138,0.03343,0.50975,21.45091,4,2
3.1,414.77829,0.03452,0.52637,22.06737,4,2
3.2,426.24857,0.03561,0.54306,22.67762,4,2
3.3,437.47,0.03669,0.5595,23.27463,4,2
3.4,448.90204,0.0378,0.57644,23.88285,4,2
3.5,459.97961,0.03889,0.59306,24.47221,4,2
3.6,470.57861,0.03997,0.6095,25.0361,4,2
3.7,481.31888,0.04108,0.62644,25.60752,4,2
3.8,491.93311,0.04217,0.64306,26.17222,4,2
3.9,501.96075,0.04325,0.65962,26.70572,4,2
